City,Country,Latitude,Longitude,MaxTemp,Humidity,Clouds,WindSpeed,Date
Honningsvåg,NO,70.98,25.97,13.3,80,1,5.16,1596065771
Kyshtovka,RU,56.55,76.63,8.27,95,0,2.89,1596065771
Les Ponts-de-Cé,FR,47.42,-0.52,16.67,71,2,0.5,1596065771
Kangaatsiaq,GL,68.31,-53.46,6.28,83,79,4.93,1596065771
Necochea,AR,-38.55,-58.74,3.89,90,15,0.89,1596065698
Huarmey,PE,-10.07,-78.15,15.69,82,3,3.24,1596065772
Mwense,ZM,-10.38,28.7,15.46,55,0,2.28,1596065772
Ranong,TH,9.97,98.63,25.0,94,75,2.33,1596065773
Palimbang,PH,6.21,124.19,26.28,82,100,1.91,1596065773
Asău,RO,46.43,26.4,18.89,83,4,1.54,1596065773
Menongue,AO,-14.66,17.69,10.14,46,8,1.82,1596065774
Black Diamond,US,47.31,-122.0,30.56,43,0,2.56,1596065774
Port Hardy,CA,50.7,-127.42,20.0,56,75,4.6,1596065774
Aktau,KZ,43.65,51.2,17.0,88,2,2.0,1596065574
São Gabriel da Cachoeira,BR,-0.13,-67.09,27.0,74,40,3.1,1596065775
Anadyr,RU,64.75,177.48,13.0,87,75,1.0,1596065491
Ngorongoro,TZ,-3.24,35.49,9.4,100,41,3.44,1596065776
Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,22.67,73,45,6.5,1596065776
Hokitika,NZ,-42.72,170.97,13.16,69,88,2.11,1596065776
Buluang,PH,13.31,123.34,26.42,87,100,2.5,1596065776
Jiaojiang,CN,28.68,121.44,29.44,90,5,0.45,1596065777
Steamboat Springs,US,40.48,-106.83,28.89,21,1,9.3,1596065584
Ngunguru,NZ,-35.62,174.5,15.56,3,100,4.47,1596065643
Urubichá,BO,-15.38,-62.95,18.38,36,0,2.7,1596065777
Tak Bai,TH,6.26,102.05,24.0,94,20,1.5,1596065778
Lumeje,AO,-11.55,20.78,13.83,38,3,2.3,1596065778
Kirkwall,GB,58.98,-2.96,11.11,81,95,4.6,1596065726
College,US,64.86,-147.8,20.0,52,75,3.6,1596065778
Arman',RU,59.7,150.17,17.15,39,35,8.43,1596065779
Paramonga,PE,-10.67,-77.83,15.04,85,9,2.95,1596065779
Gizo Government Station,SB,-8.1,156.84,28.92,74,9,4.85,1596065779
The Pas,CA,53.83,-101.25,26.0,54,1,3.6,1596065779
Mahibadhoo,MV,3.78,72.97,28.45,76,98,7.11,1596065780
Villefranche-sur-Saône,FR,45.98,4.72,23.0,40,0,2.6,1596065780
Balkhash,KZ,46.84,74.98,19.13,57,0,4.4,1596065780
Itarema,BR,-2.92,-39.92,25.65,78,15,5.98,1596065554
Ankazoabo,MG,-22.28,44.52,14.9,85,0,2.59,1596065781
Tsagan Aman,RU,47.56,46.72,22.78,72,36,1.22,1596065781
Río Cuarto,AR,-33.13,-64.35,12.0,27,0,7.2,1596065750
Jiuquan,CN,39.74,98.52,24.46,32,0,0.47,1596065781
Atar,MR,20.52,-13.05,30.79,35,0,6.97,1596065782
Nyíracsád,HU,47.6,21.97,22.0,94,73,2.02,1596065782
Tromsø,NO,69.65,18.96,19.0,55,97,6.7,1596065782
Saint-Joseph,RE,-21.37,55.62,19.0,82,20,3.1,1596065782
Comodoro Rivadavia,AR,-45.87,-67.5,5.0,60,58,3.6,1596065492
Mackay,AU,-21.15,149.2,20.56,68,0,2.6,1596065783
Pontes e Lacerda,BR,-15.23,-59.34,20.24,57,0,2.11,1596065783
Remontnoye,RU,46.56,43.65,22.0,33,0,4.0,1596065783
Maputo,MZ,-25.97,32.59,16.67,87,0,2.6,1596065784
Coquimbo,CL,-29.95,-71.34,11.0,93,1,2.1,1596065784
Bandarbeyla,SO,9.49,50.81,25.79,73,34,10.86,1596065784
Vagay,RU,57.94,69.02,8.57,83,46,1.04,1596065784
Iwanai,JP,42.97,140.51,25.05,55,0,1.27,1596065785
Catalina Foothills,US,32.3,-110.92,42.22,12,1,4.6,1596065785
Anloga,GH,5.79,0.9,24.0,94,20,4.1,1596065785
Grindavik,IS,63.84,-22.43,10.0,93,90,4.1,1596065786
Mugur-Aksy,RU,50.35,90.5,10.54,69,99,3.7,1596065786
Havelock,US,34.88,-76.9,27.78,89,84,1.34,1596065786
Erkelenz,DE,51.08,6.32,16.11,66,69,0.42,1596065786
Eden,US,36.49,-79.77,32.0,52,90,2.6,1596065787
Lichuan,CN,30.3,108.85,19.83,94,94,1.32,1596065787
Troitsko-Pechorsk,RU,62.71,56.2,8.95,92,0,0.98,1596065787
Port-Gentil,GA,-0.72,8.78,25.0,83,75,6.12,1596065787
Merauke,ID,-8.47,140.33,25.62,78,97,7.1,1596065788
Ouro Preto do Oeste,BR,-10.75,-62.22,26.71,40,10,1.18,1596065787
La Concordia,NI,13.2,-86.17,24.0,78,40,2.37,1596065788
Paraná,AR,-31.73,-60.52,8.33,49,0,2.55,1596065788
Warnes,BO,-17.5,-63.17,19.0,32,75,4.1,1596065789
Yam,RU,55.48,37.75,19.0,82,75,3.0,1596065789
Mbamba,NG,9.98,13.1,21.9,92,100,1.42,1596065789
Killybegs,IE,54.63,-8.45,14.44,95,100,3.13,1596065789
Rincon,US,32.3,-81.24,26.11,88,75,3.1,1596065566
Chumikan,RU,54.72,135.31,24.52,62,45,6.57,1596065790
Hammerfest,NO,70.66,23.68,16.0,72,99,3.1,1596065790
Orange,US,33.7,-117.77,30.0,60,20,4.1,1596065790
Paraíso,CR,9.84,-83.87,24.0,64,40,5.7,1596065791
Itaunja,IN,27.08,80.92,27.0,88,75,2.61,1596065791
Lüderitz,NA,-26.65,15.16,14.0,67,0,3.1,1596065513
Nortelândia,BR,-14.45,-56.8,24.01,47,33,1.94,1596065791
Holetown,BB,13.19,-59.64,28.0,83,40,8.2,1596065792
Ostrovnoy,RU,68.05,39.51,9.12,92,4,5.5,1596065792
Sisimiut,GL,66.94,-53.67,8.51,73,97,2.49,1596065792
Jurm,AF,36.86,70.83,17.52,34,0,0.7,1596065792
Ajuchitlán,MX,20.72,-100.02,20.0,68,90,5.1,1596065793
Bakchar,RU,57.02,82.07,11.63,97,66,3.3,1596065793
Manbij,SY,36.53,37.95,27.0,51,0,5.21,1596065793
Garmsār,IR,35.22,52.34,29.78,29,39,3.62,1596065794
Kailua,US,21.4,-157.74,31.0,54,75,5.1,1596065511
Sortland,NO,68.69,15.42,16.0,82,88,6.7,1596065794
Teya,RU,60.38,92.63,16.25,84,97,1.74,1596065539
Prince Rupert,CA,54.32,-130.32,21.0,56,1,3.6,1596065712
Spas-Demensk,RU,54.41,34.02,15.15,97,83,2.8,1596065795
Waipawa,NZ,-41.41,175.52,13.33,76,1,7.2,1596065795
Naze,JP,28.37,129.48,30.0,84,20,4.6,1596065795
Simao,CN,22.79,100.97,19.48,89,22,0.03,1596065796
Kenitra,MA,34.26,-6.58,23.0,78,75,3.6,1596065796
Moree,AU,-29.47,149.85,10.0,87,0,3.6,1596065796
Butembo,CD,0.15,29.28,13.79,89,20,1.28,1596065797
Ust-Maya,RU,60.42,134.53,17.89,37,0,4.32,1596065797
La Rioja,ES,42.25,-2.5,23.0,78,1,1.99,1596065797
Bangassou,CF,4.74,22.82,20.52,97,99,0.45,1596065797
Leningradskiy,RU,69.38,178.42,6.4,71,16,6.16,1596065797
Saint-François,FR,46.42,3.91,17.0,63,0,2.22,1596065798
Creel,MX,27.75,-107.63,23.45,43,63,5.77,1596065798
Carson City,US,39.16,-119.77,35.0,9,1,5.7,1596065640
Nāthdwāra,IN,24.93,73.82,25.79,83,93,1.53,1596065798
Sept-Îles,CA,50.2,-66.38,15.0,100,90,4.1,1596065531
Cayenne,GF,4.93,-52.33,28.0,78,69,2.6,1596065799
Yeppoon,AU,-23.13,150.73,19.0,55,0,3.1,1596065799
Qui Nhon,VN,13.77,109.23,27.34,78,82,2.33,1596065800
General Roca,AR,-39.03,-67.58,6.0,81,32,2.3,1596065800
Pombia,IT,45.65,8.63,24.44,88,29,1.0,1596065800
Dicabisagan,PH,17.08,122.42,25.92,87,99,0.81,1596065800
State College,US,40.79,-77.86,30.0,42,40,5.1,1596065801
Wagar,SD,16.15,36.2,25.39,76,90,2.89,1596065801
Mayor Pablo Lagerenza,PY,-19.93,-60.77,13.45,33,49,2.53,1596065801
Olinda,BR,-8.01,-34.86,26.0,69,75,7.7,1596065524
Arcata,US,40.87,-124.08,20.0,82,20,3.1,1596065782
Pacific Grove,US,36.62,-121.92,21.67,60,1,3.1,1596065635
Miracema do Tocantins,BR,-9.56,-48.4,24.5,35,3,1.27,1596065802
Beringovskiy,RU,63.05,179.32,12.84,78,94,4.68,1596065803
Shamkhal,RU,43.06,47.34,22.78,68,40,4.0,1596065803
Batabanó,CU,22.72,-82.29,29.0,79,40,5.7,1596065803
Alexandria,EG,31.22,29.96,26.0,78,40,4.1,1596065803
Mali,GN,12.08,-12.3,15.66,100,100,1.01,1596065804
Graaff-Reinet,ZA,-32.25,24.53,7.46,58,0,0.45,1596065804
Longyearbyen,SJ,78.22,15.64,12.0,76,20,2.6,1596065805
San Jose,US,37.34,-121.89,28.33,50,20,5.7,1596065646
Qurayyat,SA,31.33,37.34,32.0,31,1,7.2,1596065806
Ati,TD,13.22,18.34,26.24,72,96,8.89,1596065806
Port Lincoln,AU,-34.73,135.87,13.07,79,0,1.93,1596065806
Richards Bay,ZA,-28.78,32.04,17.2,82,73,1.24,1596065807
Panjakent,TJ,39.5,67.61,22.0,33,0,5.1,1596065807
City of San Pedro,PH,14.35,121.02,26.11,100,100,1.83,1596065807
Bayir,TR,37.27,28.22,22.0,78,0,0.5,1596065807
Kousséri,CM,12.08,15.03,22.0,94,40,8.7,1596065808
Srednekolymsk,RU,67.45,153.68,11.24,59,96,6.39,1596065808
Seydi,TM,39.48,62.91,23.56,21,6,6.0,1596065808
Kanigoro,ID,-8.13,112.22,20.28,74,13,1.64,1596065808
Jhārgrām,IN,22.45,86.98,26.99,82,100,3.95,1596065809
Rawlins,US,41.79,-107.24,23.0,38,75,4.1,1596065809
Ouésso,CG,1.61,16.05,21.29,93,100,1.02,1596065809
Pyn U Lwin,MM,22.03,96.47,27.0,83,75,5.1,1596065809
Mach,PK,29.86,67.33,30.2,41,29,1.04,1596065810
Kaeo,NZ,-35.1,173.78,15.56,3,100,4.47,1596065810
Imbituba,BR,-28.24,-48.67,12.0,54,1,6.7,1596065810
Kyra,RU,49.58,111.98,18.47,78,65,1.19,1596065810
Khovd,MN,48.01,91.64,17.62,46,32,3.39,1596065532
Atambua,ID,-9.11,124.89,23.41,51,47,2.3,1596065811
Ulladulla,AU,-35.35,150.47,13.33,71,9,4.1,1596065552
Sydney,AU,-33.87,151.21,15.0,62,20,4.6,1596065149
Gao,ML,16.64,1.64,32.13,43,1,6.07,1596065812
Kuril'sk,RU,45.23,147.88,16.5,84,52,3.13,1596065812
Islamkot,PK,24.7,70.18,30.41,70,38,5.9,1596065812
Whitianga,NZ,-36.83,175.7,15.0,74,100,1.34,1596065813
Great Bend,US,38.36,-98.76,32.78,59,20,2.6,1596065813
Ola,RU,59.58,151.28,16.76,44,48,5.99,1596065813
Ugoofaaru,MV,5.67,73.0,28.11,78,100,7.47,1596065813
Kulhudhuffushi,MV,6.62,73.07,28.01,78,100,7.26,1596065814
Bathsheba,BB,13.22,-59.52,28.0,83,40,8.2,1596065814
Bilibino,RU,68.05,166.44,13.37,39,67,3.17,1596065814
Golden,US,39.76,-105.22,33.89,17,75,9.8,1596065762
Saint-Louis,SN,16.33,-15.0,30.0,51,75,3.1,1596065815
Porto-Novo,BJ,6.5,2.6,25.0,88,20,3.6,1596065815
Codajás,BR,-3.84,-62.06,25.41,56,5,0.99,1596065815
Methven,NZ,-43.63,171.65,15.0,49,89,1.79,1596065815
Lorengau,PG,-2.02,147.27,29.59,63,17,2.78,1596065816
Funadhoo,MV,6.15,73.27,27.94,79,100,6.99,1596065816
Los Llanos de Aridane,ES,28.66,-17.92,23.0,78,90,6.7,1596065816
Iracoubo,GF,5.48,-53.2,26.5,82,89,4.95,1596065817
Qasigiannguit,GL,68.82,-51.19,7.0,75,65,1.5,1596065817
Sorong,ID,-0.88,131.25,26.65,84,63,5.48,1596065817
Termez,UZ,37.22,67.28,25.0,27,0,2.1,1596065817
Mahébourg,MU,-20.41,57.7,21.0,83,75,3.6,1596065818
Bowen,AU,-20.02,148.23,22.22,68,0,2.1,1596065818
Clyde River,CA,70.47,-68.59,5.0,93,75,5.7,1596065818
Ulaangom,MN,49.98,92.07,18.51,61,43,0.8,1596065819
Abu Dhabi,AE,24.47,54.37,34.0,71,59,3.1,1596065447
Ambunti,PG,-4.24,142.84,29.37,72,39,0.52,1596065819
Nioro,GM,13.35,-15.75,24.49,93,100,2.95,1596065820
Tilichiki,RU,60.47,166.1,12.08,92,100,1.91,1596065820
Conde,BR,-7.26,-34.91,22.0,100,75,5.7,1596065820
Locorotondo,IT,40.76,17.33,28.33,64,0,1.0,1596065820
Kiama,AU,-34.68,150.87,15.56,72,2,1.34,1596065821
Athens,GR,37.98,23.72,29.44,32,0,3.1,1596065816
Marawi,PH,8.0,124.29,24.44,91,100,2.68,1596065822
Eyl,SO,7.98,49.82,25.5,75,43,8.02,1596065822
Nome,US,64.5,-165.41,10.56,87,90,5.1,1596065754
Marabu,MY,4.41,114.01,24.0,100,40,0.5,1596065822
Laurentides,CA,46.43,-74.98,17.92,92,36,1.3,1596065823
Brae,GB,60.4,-1.35,11.0,93,100,7.2,1596065823
Kasongo-Lunda,CD,-6.47,16.82,19.92,41,0,0.41,1596065823
Kiryat Gat,IL,31.61,34.76,27.78,57,0,0.54,1596065583
Baturaja,ID,-4.13,104.17,22.16,86,75,0.48,1596065824
Chimoio,MZ,-19.12,33.48,15.56,87,12,0.8,1596065824
Muisne,EC,0.6,-80.03,23.01,87,73,3.31,1596065824
Laguna,US,38.42,-121.42,37.22,16,1,5.1,1596065824
Greenville,US,35.61,-77.37,28.0,74,1,5.7,1596065650
Predivinsk,RU,57.07,93.44,18.53,70,16,1.46,1596065825
Mmabatho,ZA,-25.85,25.63,7.0,45,0,2.1,1596065825
Port Augusta,AU,-32.5,137.77,11.0,100,14,2.6,1596065825
San Quintín,MX,30.48,-115.95,22.83,67,0,6.98,1596065825
Sfântu Gheorghe,RO,45.87,25.78,18.89,85,0,0.46,1596065826
Millinocket,US,45.66,-68.71,24.44,75,59,1.06,1596065826
Shīeli,KZ,44.17,66.75,20.39,36,12,4.66,1596065826
San José del Guaviare,CO,2.57,-72.65,23.63,94,94,1.39,1596065827
Calabozo,VE,8.92,-67.43,24.95,93,92,1.16,1596065827
Opuwo,NA,-18.06,13.84,13.47,37,0,2.68,1596065827
Caxito,AO,-8.58,13.66,20.0,88,29,2.6,1596065827
Liwale,TZ,-9.77,37.93,17.91,83,26,1.01,1596065828
Sar-e Pul,AF,35.83,66.17,15.54,42,0,0.86,1596065828
Fonte Boa,BR,-2.5,-66.27,25.32,75,73,1.17,1596065828
Hāflong,IN,25.18,93.03,23.03,95,100,1.56,1596065828
Esso,RU,55.93,158.7,16.33,62,89,1.6,1596065829
Pandharpur,IN,17.67,75.33,25.15,85,100,1.93,1596065829
Buchanan,LR,5.88,-10.05,25.0,83,75,1.5,1596065829
Río Gallegos,AR,-51.62,-69.22,1.0,86,76,3.6,1596065830
Byron Bay,AU,-28.65,153.62,17.0,72,6,5.1,1596065661
Boden,SE,65.83,21.69,16.0,93,100,3.6,1596065830
Marshall,US,34.38,-86.33,31.0,55,1,2.1,1596065830
Puerto Escondido,MX,15.85,-97.07,27.0,69,90,2.6,1596065831
Marathon,US,44.9,-89.77,26.0,41,1,2.1,1596065831
Cap Malheureux,MU,-19.98,57.61,21.11,78,36,2.24,1596065831
Dombarovskiy,RU,50.76,59.54,18.35,63,14,2.08,1596065832
Vila,PT,42.03,-8.16,21.67,68,0,0.45,1596065832
Santo Domingo,DO,18.5,-69.99,30.0,89,55,7.28,1596065665
Khāsh,IR,28.22,61.22,19.83,28,44,0.33,1596065832
Kamenka,RU,51.32,42.77,19.44,62,12,2.88,1596065833
Alugan,PH,12.22,125.48,27.25,81,100,2.5,1596065833
Oranjemund,NA,-28.55,16.43,12.13,83,0,5.31,1596065833
Sun Valley,US,39.6,-119.78,36.0,5,1,4.1,1596065833
Makakilo City,US,21.35,-158.09,31.0,45,75,4.1,1596065834
George,ZA,-33.96,22.46,13.0,76,4,6.7,1596065834
Oussouye,SN,12.48,-16.55,26.0,100,75,3.1,1596065834
Wuchang,CN,44.91,127.15,23.75,79,89,3.35,1596065835
Bolu Province,TR,40.67,31.58,16.68,62,0,1.0,1596065835
Pochutla,MX,15.74,-96.47,27.0,78,90,5.1,1596065835
Berezovyy,RU,51.67,135.7,31.5,45,1,1.61,1596065835
Ilhabela,BR,-23.78,-45.36,19.2,87,100,3.71,1596065836
West Plains,US,36.73,-91.85,26.0,78,75,3.1,1596065711
Evanston,US,42.04,-87.69,28.0,74,75,3.6,1596065768
Talcahuano,CL,-36.72,-73.12,9.0,81,100,1.5,1596065836
Pangnirtung,CA,66.15,-65.71,12.0,87,75,1.5,1596065836
Adrar,MR,20.5,-10.07,33.6,32,19,6.55,1596065837
Fagernes,NO,60.99,9.23,7.22,88,41,1.51,1596065837
Çeşme,TR,38.32,26.31,26.11,50,0,4.1,1596065837
Iskateley,RU,67.68,53.15,8.21,88,51,3.05,1596065837
Cartagena,CO,10.4,-75.51,29.0,83,75,4.6,1596065805
Benešov nad Ploučnicí,CZ,50.74,14.31,13.89,69,14,0.72,1596065838
La Asuncion,VE,11.03,-63.86,25.53,91,75,1.4,1596065670
Paamiut,GL,61.99,-49.67,8.49,91,89,1.02,1596065838
Caravelas,BR,-17.71,-39.25,20.39,75,0,1.51,1596065839
Coburg,DE,50.27,10.97,15.0,67,11,1.18,1596065839
Capão da Canoa,BR,-29.75,-50.01,7.58,75,0,2.11,1596065839
Tessalit,ML,20.2,1.01,34.52,20,3,3.99,1596065840
Kudahuvadhoo,MV,2.67,72.89,28.32,76,74,6.96,1596065555
Thomasville,US,35.88,-80.08,29.44,100,75,2.1,1596065578
Kesova Gora,RU,57.58,37.29,16.82,96,100,4.71,1596065840
Caucaia,BR,-3.74,-38.65,26.11,78,40,6.2,1596065840
Cehegín,ES,38.09,-1.8,27.22,69,8,0.45,1596065841
San Cristobal,VE,7.77,-72.22,31.0,55,40,4.1,1596065583
Haimen,CN,23.19,116.61,28.0,83,100,2.0,1596065841
Shakhtinsk,KZ,49.71,72.59,9.0,93,0,1.95,1596065842
Bonthe,SL,7.53,-12.51,24.6,84,98,5.04,1596065842
The Valley,AI,18.22,-63.06,27.0,88,40,6.7,1596065705
Amga,RU,60.9,131.96,18.53,50,0,1.83,1596065842
Virginia Beach,US,36.85,-75.98,30.56,66,75,5.1,1596065620
Mananara,MG,-16.17,49.77,20.11,89,91,1.13,1596065843
Mana,GF,5.66,-53.78,26.35,84,90,4.74,1596065843
Batagay-Alyta,RU,67.8,130.41,12.91,50,0,2.04,1596065843
Banda Aceh,ID,5.56,95.32,26.47,74,100,2.52,1596065844
Iqaluit,CA,63.75,-68.51,21.0,49,20,7.2,1596065844
Nara,JP,34.69,135.8,28.0,83,75,3.1,1596065844
Evensk,RU,61.95,159.23,12.02,72,98,2.91,1596065844
Taltal,CL,-25.4,-70.48,13.51,72,89,0.98,1596065845
Hervey Bay,AU,-25.3,152.85,17.22,68,0,3.13,1596065845
Warri,NG,5.52,5.75,23.45,89,92,1.66,1596065845
Katobu,ID,-4.94,122.53,25.61,71,20,2.41,1596065845
Kastamonu Province,TR,41.5,33.67,13.43,82,0,0.72,1596065846
Presidente Médici,BR,-11.18,-61.9,26.79,40,10,1.8,1596065846
Litovko,RU,49.24,135.17,26.0,77,61,5.06,1596065846
Matamoros,MX,25.53,-103.25,27.0,61,75,9.3,1596065846
Mikhaylov,RU,54.23,39.02,17.97,94,99,3.17,1596065847
Frata,RO,46.7,24.05,20.0,93,20,3.1,1596065847
Siavonga,ZM,-16.54,28.71,17.13,59,0,1.21,1596065847
Teahupoo,PF,-17.83,-149.27,28.0,69,75,8.7,1596065847
Yanam,IN,16.73,82.22,26.69,88,100,1.57,1596065848
Vila Franca do Campo,PT,37.72,-25.43,22.0,100,75,4.1,1596065848
Pokhara,NP,28.23,83.98,21.73,80,98,0.41,1596065848
Polovinnoye,RU,54.79,65.99,12.88,77,98,1.74,1596065848
Blagoyevo,RU,63.37,47.92,11.87,95,30,2.27,1596065849
Srandakan,ID,-7.94,110.25,22.01,78,41,1.84,1596065849
Soroti,UG,1.71,33.61,19.02,85,53,1.57,1596065849
Dum Duma,IN,27.57,95.57,23.07,98,100,1.55,1596065849
Portland,US,45.52,-122.68,34.44,24,20,4.6,1596065411
Lixouri,GR,38.2,20.43,25.48,58,0,1.46,1596065850
Kirensk,RU,57.79,108.11,13.36,69,100,3.6,1596065850
Morondava,MG,-20.28,44.28,20.51,81,52,2.75,1596065850
Camacha,PT,33.08,-16.33,21.0,64,75,4.6,1596065851
Vuktyl,RU,63.86,57.31,9.55,91,1,1.16,1596065851
Erenhot,CN,43.65,111.98,24.26,49,100,6.72,1596065851
Singkang,MY,2.1,102.8,25.0,88,20,0.48,1596065851
